Longitud,Latitud,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Media,Media Real,Diferencia
-179.750,71.250,-23.000,-25.700,-24.300,-17.900,-7.100,-0.100,1.800,1.400,-1.700,-8.200,-15.600,-22.200,-11.600,-11.900,0.300
-179.750,68.750,-26.000,-28.700,-26.700,-20.000,-7.800,0.100,3.000,1.700,-1.900,-10.400,-18.200,-25.500,-13.300,-13.400,0.100
-179.750,68.250,-25.900,-27.600,-25.900,-19.300,-8.600,0.000,2.900,2.000,-1.800,-9.700,-17.500,-24.500,-12.900,-13.000,0.100
-179.750,67.750,-24.100,-25.000,-23.500,-17.100,-7.700,1.200,4.500,3.800,-0.200,-7.600,-15.300,-22.200,-11.000,-11.100,0.100
-179.750,67.250,-24.800,-24.800,-24.000,-17.400,-9.100,-0.400,3.400,3.000,-1.600,-8.400,-16.000,-22.400,-11.700,-11.900,0.200
-179.750,66.750,-21.000,-20.100,-20.300,-13.000,-5.800,2.600,6.700,6.800,1.400,-5.000,-12.400,-18.200,-8.100,-8.200,0.100
-179.750,66.250,-19.200,-17.900,-19.100,-11.000,-4.200,3.900,8.200,8.400,2.500,-3.500,-11.000,-16.200,-6.500,-6.600,0.100
-179.750,65.750,-17.900,-17.500,-18.000,-10.200,-2.800,5.200,9.700,9.600,3.900,-2.800,-10.500,-15.900,-5.600,-5.600,0.000
-179.750,65.250,-17.500,-18.200,-17.900,-10.800,-2.300,5.300,10.100,9.500,4.100,-3.500,-11.200,-16.600,-5.600,-5.800,0.200
-179.750,-16.750,27.000,27.200,27.000,26.700,26.100,25.400,24.800,24.800,25.000,25.700,26.200,26.700,20.000,26.000,-6.000
-179.750,-84.750,-18.500,-26.900,-37.900,-42.700,-44.000,-43.800,-47.700,-47.900,-46.800,-38.000,-27.100,-18.500,-36.700,-36.600,-0.100
-179.750,-85.250,-23.600,-32.500,-43.800,-48.400,-49.600,-49.500,-53.000,-53.100,-52.300,-43.500,-32.400,-23.600,-42.200,-42.100,-0.100
-179.750,-85.750,-23.100,-32.700,-44.300,-48.600,-49.600,-49.700,-52.700,-52.900,-52.200,-43.500,-32.200,-23.100,-42.100,-42.000,-0.100
-179.750,-86.250,-25.100,-35.300,-47.300,-51.400,-52.100,-52.400,-55.000,-55.200,-54.600,-45.900,-34.400,-25.000,-44.600,-44.500,-0.100
-179.750,-86.750,-26.800,-37.600,-50.000,-53.800,-54.400,-54.800,-57.000,-57.200,-56.700,-48.200,-36.500,-26.700,-46.700,-46.600,-0.100
-179.750,-87.250,-27.800,-39.100,-51.800,-55.500,-56.000,-56.400,-58.400,-58.500,-58.100,-49.600,-37.700,-27.800,-48.100,-48.100,0.000
-179.750,-87.750,-28.400,-40.100,-53.000,-56.500,-57.000,-57.400,-59.200,-59.300,-59.000,-50.600,-38.500,-28.400,-44.000,-48.900,4.900
-179.750,-88.250,-29.100,-41.100,-54.300,-57.700,-58.100,-58.600,-60.100,-60.200,-60.000,-51.500,-39.300,-29.100,-50.000,-49.900,-0.100
-179.750,-88.750,-29.100,-41.300,-54.600,-58.100,-58.300,-58.800,-60.300,-60.300,-60.200,-51.600,-39.500,-29.000,-52.200,-50.100,-2.100
-179.750,-89.250,-28.500,-40.900,-54.200,-57.700,-57.900,-58.400,-59.800,-59.800,-59.700,-51.200,-38.900,-28.500,-49.700,-49.600,-0.100
-179.750,-89.750,-27.700,-40.200,-53.600,-57.000,-57.200,-57.700,-59.100,-59.100,-59.000,-50.500,-38.100,-27.700,-49.000,-48.900,-0.100
-179.250,71.250,-23.500,-26.200,-24.800,-18.300,-7.600,-0.400,1.400,1.000,-2.200,-8.700,-16.200,-22.700,-12.100,-12.400,0.300
-179.250,68.750,-24.000,-26.600,-24.700,-17.900,-6.300,2.100,4.800,3.600,-0.100,-8.400,-16.100,-23.200,-11.400,-11.400,0.000
-179.250,68.250,-25.400,-27.300,-25.400,-19.000,-8.300,0.300,3.300,2.300,-1.500,-9.400,-17.100,-24.200,-14.500,-12.600,-1.900
-179.250,67.750,-24.700,-25.800,-23.900,-18.000,-8.400,0.500,3.700,3.000,-0.900,-8.300,-16.000,-23.000,-11.800,-11.800,0.000
-179.250,67.250,-22.500,-22.600,-21.300,-15.400,-6.900,2.000,5.600,5.100,0.900,-6.100,-13.600,-20.200,-9.500,-9.600,0.100
-179.250,66.750,-21.900,-21.100,-20.800,-14.200,-6.600,1.800,5.900,5.800,0.800,-5.800,-13.100,-19.000,-8.900,-9.000,0.100
-179.250,-84.750,-17.100,-25.600,-36.600,-41.400,-42.600,-42.600,-46.300,-46.600,-45.500,-36.700,-25.800,-17.100,-35.300,-35.300,0.000
-179.250,-85.250,-23.500,-32.400,-43.800,-48.300,-49.600,-49.400,-52.900,-53.100,-52.200,-43.500,-32.400,-23.600,-45.200,-42.100,-3.100
-179.250,-85.750,-23.000,-32.500,-44.100,-48.400,-49.400,-49.400,-52.600,-52.700,-52.000,-43.300,-32.000,-22.900,-42.000,-41.900,-0.100
-179.250,-86.250,-25.100,-35.300,-47.300,-51.400,-52.100,-52.400,-54.900,-55.200,-54.600,-45.900,-34.400,-25.000,-44.600,-44.500,-0.100
-179.250,-86.750,-26.800,-37.600,-50.000,-53.800,-54.400,-54.800,-57.000,-57.200,-56.700,-48.200,-36.500,-26.700,-46.700,-46.600,-0.100
-179.250,-87.250,-27.800,-39.100,-51.800,-55.400,-56.000,-56.300,-58.300,-58.500,-58.100,-49.600,-37.700,-27.800,-48.100,-48.000,-0.100
-179.250,-87.750,-28.400,-40.100,-53.000,-56.500,-56.900,-57.400,-59.200,-59.300,-59.000,-50.600,-38.500,-28.400,-43.000,-48.900,5.900
-179.250,-88.250,-29.100,-41.100,-54.300,-57.700,-58.100,-58.600,-60.100,-60.200,-60.000,-51.500,-39.300,-29.100,-50.000,-49.900,-0.100
-179.250,-88.750,-29.100,-41.300,-54.600,-58.100,-58.300,-58.800,-60.300,-60.300,-60.200,-51.600,-39.400,-29.000,-50.200,-50.100,-0.100
-179.250,-89.250,-28.500,-40.900,-54.200,-57.700,-57.900,-58.400,-59.800,-59.800,-59.700,-51.200,-38.900,-28.500,-49.700,-49.600,-0.100
